Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171206,Martinique,17,1,0
20171206,Peru,17,0,0
20171207,Russia,17,0,0
20171210,Netherlands,17,3,0
20171210,Thailand,17,1,0
20171211,Peru,17,2,1
20171211,Puerto Rico,17,3,0
20171212,Dominican Republic,17,0,0
20171212,Netherlands,17,1,0
20171212,Peru,17,1,0
20171118,Russia,16,1,0
20171119,Poland,16,1,0
20171119,Russia,16,1,0
20171120,Belgium,16,1,0
20171123,India,16,3,0
20171125,Belgium,16,5,1
20171126,South Africa,16,3,0
20171127,Thailand,16,3,1
20171128,Greece,16,6,0
20171129,China,16,0,0
20171129,Netherlands,16,3,1
20171203,Saudi Arabia,16,1,0
20171203,South Africa,16,2,0
20171205,Colombia,16,0,0
20171210,Paraguay,16,0,0
20171214,Belgium,16,3,0
20171116,Greece,15,0,0
20171120,Austria,15,1,0
20171122,Russia,15,2,0
20171127,India,15,2,0
20171127,Netherlands,15,5,0
20171128,Puerto Rico,15,0,0
20171202,Peru,15,0,0
20171202,Thailand,15,2,0
20171203,Indonesia,15,3,0
20171204,Philippines,15,1,0
20171205,South Africa,15,1,0
20171206,Belgium,15,1,0
20171210,South Africa,15,3,0
20171211,Austria,15,1,0
20171211,Portugal,15,0,0
20171211,Paraguay,15,3,0
20171211,Russia,15,1,0
20171213,Peru,15,1,1
20171213,Russia,15,3,0
20171215,Puerto Rico,15,1,0
20171116,Austria,14,1,0
20171116,Indonesia,14,2,0
20171117,Thailand,14,2,0
20171119,Hungary,14,3,0
20171121,India,14,1,0
20171127,United Arab Emirates,14,4,1
20171129,Paraguay,14,0,0
20171201,Russia,14,4,0
20171202,Saudi Arabia,14,5,0
20171203,Belgium,14,2,1
20171203,Poland,14,4,0
20171203,Russia,14,2,0
20171204,Puerto Rico,14,0,0
20171204,Turkey,14,2,0
20171205,Indonesia,14,6,0
20171206,India,14,1,0
20171206,Netherlands,14,2,0
20171206,Saudi Arabia,14,3,0
20171207,Belgium,14,1,0
20171207,Puerto Rico,14,1,0
20171208,Austria,14,0,0
20171208,Netherlands,14,3,0
20171209,Peru,14,1,1
20171209,Puerto Rico,14,0,0
20171210,Poland,14,2,0
20171210,Saudi Arabia,14,2,0
20171211,Thailand,14,1,0
20171213,South Africa,14,1,0
20171215,South Africa,14,3,0
20171116,Ukraine,13,2,0
20171117,Bahrain,13,3,0
20171117,Saudi Arabia,13,5,0
20171119,South Africa,13,1,0
20171120,Russia,13,3,0
20171121,Switzerland,13,0,0
20171123,Poland,13,2,0
20171126,Russia,13,1,0
20171127,Saudi Arabia,13,5,0
20171127,Turkey,13,1,0
20171128,Martinique,13,1,0
20171129,United Arab Emirates,13,3,0
20171201,Switzerland,13,1,0
20171201,South Africa,13,1,0
20171204,(not set),13,1,0
20171205,Paraguay,13,1,0
20171206,South Africa,13,2,0
20171209,Saudi Arabia,13,3,0
20171211,Netherlands,13,4,1
20171212,Ukraine,13,1,0
20171213,Belgium,13,3,1
20171214,Greece,13,1,0
20171215,Netherlands,13,2,1
20171117,Russia,12,1,0
20171119,Belgium,12,0,0
20171119,Switzerland,12,1,0
20171120,Switzerland,12,5,0
20171123,Switzerland,12,1,0
20171123,Paraguay,12,0,0
20171124,Portugal,12,3,0
20171124,South Africa,12,0,0
20171126,Hungary,12,2,0
20171126,Indonesia,12,1,0
20171127,Poland,12,0,0
20171127,Russia,12,4,0
20171129,Indonesia,12,2,0
20171201,Belgium,12,3,2
20171201,Netherlands,12,2,0
20171201,Peru,12,0,0
20171201,Poland,12,2,0
20171201,Turkey,12,0,0
20171202,Martinique,12,0,0
20171202,Puerto Rico,12,0,0
20171202,Russia,12,2,0
20171203,Martinique,12,1,0
20171203,Thailand,12,1,0
20171203,Turkey,12,4,0
20171204,Netherlands,12,2,0
20171205,Peru,12,1,0
20171207,Martinique,12,3,0
20171207,Netherlands,12,0,0
20171207,Thailand,12,1,0
20171208,South Africa,12,0,0
20171209,Dominican Republic,12,0,0
20171209,South Africa,12,1,0
20171210,Indonesia,12,4,0
20171210,New Caledonia,12,0,0
20171211,Belgium,12,1,0
20171212,Russia,12,3,0
20171214,Poland,12,1,0
20171214,Portugal,12,3,0
20171214,Russia,12,1,0
20171214,Thailand,12,4,0
20171214,South Africa,12,0,0
20171215,Russia,12,2,0
20171215,Thailand,12,6,0
20171116,Belgium,11,0,0
20171116,Russia,11,2,0
20171116,Thailand,11,1,0
20171118,South Africa,11,1,0
20171119,Croatia,11,4,0
20171119,Indonesia,11,4,0
20171120,Philippines,11,3,0
20171121,Belgium,11,2,0
20171121,Poland,11,1,0
20171121,Russia,11,1,0
20171121,Thailand,11,2,0
20171122,Saudi Arabia,11,2,0
20171123,South Africa,11,1,0
20171125,Poland,11,0,0
20171125,Portugal,11,3,0
20171127,Greece,11,0,0
20171127,Hungary,11,1,0
20171128,Netherlands,11,3,0
20171128,South Africa,11,1,0
20171129,Portugal,11,1,0
20171130,Belgium,11,1,0
20171130,Thailand,11,0,0
20171201,Hungary,11,1,0
20171201,Puerto Rico,11,0,0
20171201,Saudi Arabia,11,4,0
20171202,Portugal,11,1,0
20171202,South Africa,11,3,0
20171204,Belgium,11,2,0
20171204,Saudi Arabia,11,1,0
20171205,Belgium,11,1,0
20171205,India,11,1,0
20171205,Martinique,11,1,0
20171206,United Arab Emirates,11,5,1
20171206,Russia,11,4,0
20171206,Ukraine,11,3,0
20171208,Thailand,11,0,0
20171209,Indonesia,11,1,0
20171209,Malaysia,11,2,0
20171210,Uruguay,11,0,0
20171212,Austria,11,2,1
20171212,Puerto Rico,11,0,0
20171213,Puerto Rico,11,1,0
20171214,Puerto Rico,11,0,0
20171214,Uruguay,11,0,0
20171117,Switzerland,10,0,0
20171118,United Arab Emirates,10,2,0
20171118,Indonesia,10,0,0
20171120,Costa Rica,10,4,0
20171120,India,10,1,0
20171120,South Korea,10,1,0
20171120,Thailand,10,1,0
20171121,Denmark,10,2,0
20171121,Cayman Islands,10,2,0
20171122,Austria,10,1,1
20171123,United Arab Emirates,10,1,0
20171123,Belgium,10,0,0
20171123,Puerto Rico,10,4,1
20171124,Belgium,10,1,0
20171124,Switzerland,10,1,0
20171124,Netherlands,10,1,0
20171124,Puerto Rico,10,1,0
20171124,Thailand,10,6,1
20171125,Greece,10,0,0
20171125,Hungary,10,2,0
20171125,Saudi Arabia,10,4,0
20171127,Indonesia,10,2,0
20171128,Hungary,10,5,0
20171128,India,10,0,0
